Provider_Business_Practice_Location_Address_State_Name,CLASSIFICATION,Provider_Gender_Code,COUNT_
OH,Optometrist,F,710
KS,Optometrist,F,177
IN,Optometrist,F,432
IL,Optometrist,F,929
SC,Optometrist,F,187
GU,Optometrist,F,5
LAGOS,Optometrist,F,1
AS,Optometrist,F,1
AL,Optometrist,F,286
BAJA CALIFORNIA,Optometrist,F,1
WV,Optometrist,F,61
PA,Optometrist,F,798
FL,Optometrist,F,1077
OR,Optometrist,F,254
KY,Optometrist,F,213
NM,Optometrist,F,82
MD,Optometrist,F,331
PR,Optometrist,F,164
ONTARIO,Optometrist,F,3
SD,Optometrist,F,55
HI,Optometrist,F,102
WY,Optometrist,F,26
WA,Optometrist,F,437
AK,Optometrist,F,48
MH,Optometrist,F,1
MI,Optometrist,F,522
CT,Optometrist,F,202
SAN MATEO,Optometrist,F,1
UT,Optometrist,F,34
NV,Optometrist,F,154
ND,Optometrist,F,60
AE,Optometrist,F,10
LA,Optometrist,F,130
ME,Optometrist,F,78
VT,Optometrist,F,32
OK,Optometrist,F,232
NE,Optometrist,F,114
WI,Optometrist,F,290
MO,Optometrist,F,366
IA,Optometrist,F,157
AZ,Optometrist,F,333
ID,Optometrist,F,40
MA,Optometrist,F,530
AR,Optometrist,F,126
DE,Optometrist,F,60
ME,Chiropractor,F,99
ONTARIO,Chiropractor,F,2
MO,Chiropractor,F,546
IA,Chiropractor,F,457
RI,Chiropractor,F,45
SD,Chiropractor,F,94
BC,Chiropractor,F,1
UT,Chiropractor,F,41
DE,Chiropractor,F,54
FL,Chiropractor,F,1194
SC,Chiropractor,F,272
CAYMAN ISLANDS,Chiropractor,F,1
MN,Chiropractor,F,730
TN,Chiropractor,F,209
IN,Chiropractor,F,233
NH,Chiropractor,F,76
WI,Chiropractor,F,496
KS,Chiropractor,F,245
VT,Chiropractor,F,59
MI,Chiropractor,F,571
ND,Chiropractor,F,101
IL,Chiropractor,F,987
DC,Chiropractor,F,13
AK,Chiropractor,F,86
NE,Chiropractor,F,147
OR,Chiropractor,F,407
CT,Chiropractor,F,159
NY,Chiropractor,F,785
LA,Chiropractor,F,108
AL,Chiropractor,F,137
GA,Chiropractor,F,687
NC,Chiropractor,F,386
PUERTO RICO,Chiropractor,F,1
VI,Chiropractor,F,8
NJ,Chiropractor,F,412
MS,Chiropractor,F,53
KY,Chiropractor,F,144
VA,Chiropractor,F,304
OH,Chiropractor,F,369
CO,Chiropractor,F,483
WV,Chiropractor,F,35
HI,Chiropractor,F,67
TX,Chiropractor,F,1237
NV,Chiropractor,F,91
GU,Chiropractor,F,2
MA,Chiropractor,F,325
CA,Chiropractor,F,2171
MT,Chiropractor,F,76
WY,Chiropractor,F,29
PA,Chiropractor,F,589
WA,Chiropractor,F,508
AZ,Chiropractor,F,287
AR,Chiropractor,F,100
NM,Chiropractor,F,76
MD,Chiropractor,F,169
PR,Chiropractor,F,70
ID,Chiropractor,F,64
OK,Chiropractor,F,142
OK,Ophthalmology,F,24
PR,Ophthalmology,F,40
IL,Ophthalmology,F,194
MA,Ophthalmology,F,222
KS,Ophthalmology,F,21
CO,Ophthalmology,F,50
NJ,Ophthalmology,F,111
LA,Ophthalmology,F,50
SC,Ophthalmology,F,50
FL,Ophthalmology,F,251
AR,Ophthalmology,F,25
IN,Ophthalmology,F,53
WY,Ophthalmology,F,1
TX,Ophthalmology,F,290
WV,Ophthalmology,F,14
DC,Ophthalmology,F,29
MD,Ophthalmology,F,146
UT,Ophthalmology,F,16
ME,Ophthalmology,F,20
MS,Ophthalmology,F,19
DE,Ophthalmology,F,18
NM,Ophthalmology,F,17
WI,Ophthalmology,F,90
GA,Ophthalmology,F,101
CT,Ophthalmology,F,62
VT,Ophthalmology,F,12
HI,Ophthalmology,F,22
NC,Ophthalmology,F,114
SD,Ophthalmology,F,5
AZ,Ophthalmology,F,43
MN,Ophthalmology,F,84
ID,Ophthalmology,F,8
IA,Ophthalmology,F,48
ND,Ophthalmology,F,4
OR,Ophthalmology,F,54
MI,Ophthalmology,F,163
TN,Ophthalmology,F,70
MT,Ophthalmology,F,5
PA,Ophthalmology,F,218
VA,Ophthalmology,F,103
MO,Ophthalmology,F,61
ALBERTA,Ophthalmology,F,1
WA,Ophthalmology,F,110
OH,Ophthalmology,F,141
CA,Ophthalmology,F,576
RI,Ophthalmology,F,20
GU,Ophthalmology,F,1
NY,Ophthalmology,F,395
AL,Ophthalmology,F,26
NE,Ophthalmology,F,14
KY,Ophthalmology,F,34
AK,Ophthalmology,F,5
NV,Ophthalmology,F,21
NH,Ophthalmology,F,17
WV,Pain Medicine,F,3
AK,Pain Medicine,F,4
AL,Pain Medicine,F,4
HI,Pain Medicine,F,1
ID,Pain Medicine,F,2
NH,Pain Medicine,F,5
PR,Pain Medicine,F,2
IN,Pain Medicine,F,15
CT,Pain Medicine,F,5
CA,Pain Medicine,F,33
LA,Pain Medicine,F,7
OH,Pain Medicine,F,11
IL,Pain Medicine,F,15
MA,Pain Medicine,F,5
AZ,Pain Medicine,F,15
PA,Pain Medicine,F,17
ND,Pain Medicine,F,1
NY,Pain Medicine,F,36
OK,Pain Medicine,F,2
WA,Pain Medicine,F,7
AR,Pain Medicine,F,1
UT,Pain Medicine,F,2
SC,Pain Medicine,F,5
MO,Pain Medicine,F,8
NV,Pain Medicine,F,2
KY,Pain Medicine,F,8
CO,Pain Medicine,F,2
MD,Pain Medicine,F,10
TN,Pain Medicine,F,7
DE,Pain Medicine,F,3
FL,Pain Medicine,F,42
MN,Pain Medicine,F,5
DC,Pain Medicine,F,2
WI,Pain Medicine,F,7
NE,Pain Medicine,F,3
NC,Pain Medicine,F,9
MI,Pain Medicine,F,12
OR,Pain Medicine,F,5
NJ,Pain Medicine,F,14
TX,Pain Medicine,F,33
GA,Pain Medicine,F,20
VA,Pain Medicine,F,10
MS,Pain Medicine,F,2
CA,Anesthesiology,F,1314
OH,Anesthesiology,F,406
MS,Anesthesiology,F,59
AA,Anesthesiology,F,1
IL,Anesthesiology,F,487
MA,Anesthesiology,F,463
AL,Anesthesiology,F,69
VI,Anesthesiology,F,1
SC,Anesthesiology,F,109
MO,Anesthesiology,F,224
HI,Anesthesiology,F,36
PR,Anesthesiology,F,42
WI,Anesthesiology,F,243
AP,Anesthesiology,F,1
WA,Anesthesiology,F,304
VA,Anesthesiology,F,272
ID,Anesthesiology,F,13
SEOUL,Anesthesiology,F,1
TIROL,Anesthesiology,F,1
PW,Anesthesiology,F,1
OR,Anesthesiology,F,177
MI,Anesthesiology,F,329
MT,Anesthesiology,F,21
TN,Anesthesiology,F,184
GA,Anesthesiology,F,246
TX,Anesthesiology,F,1030
AK,Anesthesiology,F,14
CO,Anesthesiology,F,238
OK,Anesthesiology,F,84
ONTARIO,Anesthesiology,F,2
KS,Anesthesiology,F,89
NM,Anesthesiology,F,51
UT,Anesthesiology,F,54
DC,Anesthesiology,F,65
NV,Anesthesiology,F,52
AZ,Anesthesiology,F,211
NE,Anesthesiology,F,82
MD,Anesthesiology,F,281
WY,Anesthesiology,F,4
AE,Anesthesiology,F,3
SD,Anesthesiology,F,14
DE,Anesthesiology,F,43
FL,Anesthesiology,F,530
SUFFOLK,Anesthesiology,F,1
NC,Anesthesiology,F,255
MN,Anesthesiology,F,155
LA,Anesthesiology,F,111
ND,Anesthesiology,F,27
CT,Anesthesiology,F,149
PA,Anesthesiology,F,490
IN,Anesthesiology,F,241
ME,Anesthesiology,F,48
AR,Anesthesiology,F,77
NH,Anesthesiology,F,53
RI,Anesthesiology,F,27
NY,Anesthesiology,F,960
NJ,Anesthesiology,F,314
IA,Anesthesiology,F,87
KY,Anesthesiology,F,154
VT,Anesthesiology,F,16
GU,Anesthesiology,F,2
WV,Anesthesiology,F,25
CA,Legal Medicine,F,2
GA,Legal Medicine,F,1
NS,Otolaryngology,F,1
UT,Otolaryngology,F,7
IN,Otolaryngology,F,33
WA,Otolaryngology,F,49
MI,Otolaryngology,F,60
WV,Otolaryngology,F,5
TN,Otolaryngology,F,25
AP,Otolaryngology,F,2
ID,Otolaryngology,F,3
NE,Otolaryngology,F,16
VT,Otolaryngology,F,4
TX,Otolaryngology,F,150
ON,Otolaryngology,F,1
MD,Otolaryngology,F,56
AE,Otolaryngology,F,1
ME,Otolaryngology,F,4
OK,Otolaryngology,F,10
KY,Otolaryngology,F,21
NH,Otolaryngology,F,7
SC,Otolaryngology,F,30
AS,Otolaryngology,F,1
MO,Otolaryngology,F,58
CA,Otolaryngology,F,243
VA,Otolaryngology,F,37
WY,Otolaryngology,F,2
HI,Otolaryngology,F,4
LA,Otolaryngology,F,40
NJ,Otolaryngology,F,29
NV,Otolaryngology,F,7
AK,Otolaryngology,F,4
MN,Otolaryngology,F,47
ND,Otolaryngology,F,7
MT,Otolaryngology,F,2
NY,Otolaryngology,F,129
RI,Otolaryngology,F,5
GA,Otolaryngology,F,56
CO,Otolaryngology,F,48
NM,Otolaryngology,F,10
AL,Otolaryngology,F,12
MA,Otolaryngology,F,84
AZ,Otolaryngology,F,15
AR,Otolaryngology,F,15
OR,Otolaryngology,F,22
DE,Otolaryngology,F,7
KS,Otolaryngology,F,10
PA,Otolaryngology,F,107
IA,Otolaryngology,F,30
OH,Otolaryngology,F,48
MS,Otolaryngology,F,8
WI,Otolaryngology,F,32
FL,Otolaryngology,F,88
IL,Otolaryngology,F,93
SD,Otolaryngology,F,3
CT,Otolaryngology,F,15
PR,Otolaryngology,F,8
NC,Otolaryngology,F,46
DC,Otolaryngology,F,10
AS,Family Medicine,F,1
GE,Family Medicine,F,1
CO,Family Medicine,F,1249
KY,Family Medicine,F,600
AE,Family Medicine,F,21
BRITISH COLUMBIA,Family Medicine,F,1
AKERSHUS,Family Medicine,F,1
WI,Family Medicine,F,1137
CT,Family Medicine,F,261
WV,Family Medicine,F,330
NH,Family Medicine,F,258
WA,Family Medicine,F,1659
MO,Family Medicine,F,853
AIT OURIR,Family Medicine,F,1
SD,Family Medicine,F,174
WY,Family Medicine,F,88
VT,Family Medicine,F,148
GU,Family Medicine,F,13
NM,Family Medicine,F,456
QUEBEC,Family Medicine,F,1
NY,Family Medicine,F,1975
VI,Family Medicine,F,7
OK,Family Medicine,F,541
QUEENSLAND,Family Medicine,F,1
NEW BRUNSWICK,Family Medicine,F,1
IL,Family Medicine,F,1967
PA,Family Medicine,F,2490
TN,Family Medicine,F,667
IA,Family Medicine,F,712
AP,Family Medicine,F,18
MD,Family Medicine,F,713
NONE,Family Medicine,F,1
AZ,Family Medicine,F,919
KS,Family Medicine,F,588
BAVARIA,Family Medicine,F,1
IN,Family Medicine,F,1068
MI,Family Medicine,F,1824
BITBURG,Family Medicine,F,1
APO,Family Medicine,F,1
LA,Family Medicine,F,390
ONTARIO,Family Medicine,F,4
AR,Family Medicine,F,347
MN,Family Medicine,F,1222
RI,Family Medicine,F,154
OR,Family Medicine,F,841
HI,Family Medicine,F,174
ID,Family Medicine,F,283
MT,Family Medicine,F,214
ME,Family Medicine,F,446
MS,Family Medicine,F,254
NJ,Family Medicine,F,844
VA,Family Medicine,F,1271
NE,Family Medicine,F,342
UT,Family Medicine,F,204
AK,Family Medicine,F,231
ND,Family Medicine,F,175
AL,Family Medicine,F,436
OH,Family Medicine,F,1671
GERMANY,Family Medicine,F,1
DE,Family Medicine,F,162
CA,Family Medicine,F,4859
TAMAULIPAS,Family Medicine,F,1
PR,Family Medicine,F,169
ODESSA,Family Medicine,F,1
TX,Family Medicine,F,3266
FL,Family Medicine,F,2731
NC,Family Medicine,F,1499
DC,Family Medicine,F,129
SC,Family Medicine,F,730
MA,Family Medicine,F,987
GA,Family Medicine,F,1177
NV,Family Medicine,F,285
ON,Family Medicine,F,2
MA,Oral Medicinist,F,3
MI,Oral Medicinist,F,1
OH,Oral Medicinist,F,1
LA,Plastic Surgery,F,3
ME,Plastic Surgery,F,3
OK,Plastic Surgery,F,4
NE,Plastic Surgery,F,4
UT,Plastic Surgery,F,2
OH,Plastic Surgery,F,31
WV,Plastic Surgery,F,1
AZ,Plastic Surgery,F,14
MA,Plastic Surgery,F,25
NJ,Plastic Surgery,F,17
ND,Plastic Surgery,F,3
WI,Plastic Surgery,F,19
NV,Plastic Surgery,F,1
MT,Plastic Surgery,F,1
PR,Plastic Surgery,F,1
DC,Plastic Surgery,F,8
ID,Plastic Surgery,F,1
CO,Plastic Surgery,F,11
PA,Plastic Surgery,F,31
IL,Plastic Surgery,F,38
SD,Plastic Surgery,F,3
NM,Plastic Surgery,F,2
VA,Plastic Surgery,F,12
KS,Plastic Surgery,F,3
MO,Plastic Surgery,F,13
NC,Plastic Surgery,F,18
NY,Plastic Surgery,F,62
MD,Plastic Surgery,F,12
RI,Plastic Surgery,F,6
TX,Plastic Surgery,F,45
CA,Plastic Surgery,F,99
OR,Plastic Surgery,F,12
TN,Plastic Surgery,F,9
NH,Plastic Surgery,F,4
MI,Plastic Surgery,F,20
MS,Plastic Surgery,F,3
AL,Plastic Surgery,F,3
MN,Plastic Surgery,F,16
IN,Plastic Surgery,F,8
HI,Plastic Surgery,F,1
DE,Plastic Surgery,F,1
IA,Plastic Surgery,F,3
SC,Plastic Surgery,F,5
AR,Plastic Surgery,F,1
FL,Plastic Surgery,F,47
GA,Plastic Surgery,F,22
CT,Plastic Surgery,F,8
KY,Plastic Surgery,F,13
WA,Plastic Surgery,F,17
ME,Dental Assistant,F,5
ITALY,Dental Assistant,F,1
BELGIUM,Dental Assistant,F,1
CT,Dental Assistant,F,4
NC,Dental Assistant,F,12
AL,Dental Assistant,F,3
AA,Dental Assistant,F,1
IN,Dental Assistant,F,2
HI,Dental Assistant,F,14
VENETO,Dental Assistant,F,1
CA,Dental Assistant,F,460
SC,Dental Assistant,F,1
CO,Dental Assistant,F,47
MI,Dental Assistant,F,6
VA,Dental Assistant,F,4
MA,Dental Assistant,F,5
NY,Dental Assistant,F,16
WA,Dental Assistant,F,71
NM,Dental Assistant,F,31
UT,Dental Assistant,F,2
TX,Dental Assistant,F,62
AE,Dental Assistant,F,1
AR,Dental Assistant,F,2
AK,Dental Assistant,F,11
OR,Dental Assistant,F,102
GA,Dental Assistant,F,59
FL,Dental Assistant,F,12
PA,Dental Assistant,F,1
AP,Dental Assistant,F,3
WI,Dental Assistant,F,2
MO,Dental Assistant,F,13
OH,Dental Assistant,F,71
KERCHBERG,Dental Assistant,F,1
KS,Dental Assistant,F,5
OK,Dental Assistant,F,16
DC,Dental Assistant,F,1
TN,Dental Assistant,F,7
PR,Dental Assistant,F,4
CHIHUAHUA,Dental Assistant,F,1
LA,Dental Assistant,F,6
NJ,Dental Assistant,F,6
IL,Dental Assistant,F,1
IA,Dental Assistant,F,1
DE,Dental Assistant,F,2
MN,Dental Assistant,F,13
ID,Dental Assistant,F,1
KY,Dental Assistant,F,25
AZ,Dental Assistant,F,9
MD,Dental Assistant,F,5
IN,Dental Hygienist,F,10
TN,Dental Hygienist,F,37
MD,Dental Hygienist,F,59
HANUIT,Dental Hygienist,F,1
AA,Dental Hygienist,F,2
MS,Dental Hygienist,F,15
PA,Dental Hygienist,F,177
GU,Dental Hygienist,F,1
KS,Dental Hygienist,F,44
RP,Dental Hygienist,F,1
NV,Dental Hygienist,F,43
WA,Dental Hygienist,F,402
AZ,Dental Hygienist,F,161
WV,Dental Hygienist,F,8
TX,Dental Hygienist,F,200
AE,Dental Hygienist,F,55
DE,Dental Hygienist,F,7
FL,Dental Hygienist,F,186
MA,Dental Hygienist,F,179
MT,Dental Hygienist,F,87
PR,Dental Hygienist,F,5
WY,Dental Hygienist,F,7
CA,Dental Hygienist,F,789
NY,Dental Hygienist,F,317
HESSEN,Dental Hygienist,F,4
GA,Dental Hygienist,F,62
WI,Dental Hygienist,F,489
MN,Dental Hygienist,F,129
CO,Dental Hygienist,F,638
HI,Dental Hygienist,F,37
VT,Dental Hygienist,F,10
FLORIDA,Dental Hygienist,F,1
DC,Dental Hygienist,F,15
AP,Dental Hygienist,F,12
UT,Dental Hygienist,F,24
NJ,Dental Hygienist,F,33
KIRCHBERG,Dental Hygienist,F,2
IL,Dental Hygienist,F,76
IA,Dental Hygienist,F,13
AR,Dental Hygienist,F,16
KY,Dental Hygienist,F,41
RI,Dental Hygienist,F,4
ND,Dental Hygienist,F,4
NE,Dental Hygienist,F,89
OKINAWA,Dental Hygienist,F,1
LA,Dental Hygienist,F,12
BAYERN,Dental Hygienist,F,1
NH,Dental Hygienist,F,80
CT,Dental Hygienist,F,184
SD,Dental Hygienist,F,20
PUERTO RICO,Dental Hygienist,F,1
BAVARIA,Dental Hygienist,F,2
MI,Dental Hygienist,F,483
AL,Dental Hygienist,F,13
NC,Dental Hygienist,F,41
OK,Dental Hygienist,F,35
ME,Dental Hygienist,F,233
AK,Dental Hygienist,F,35
GERMANY,Dental Hygienist,F,1
MO,Dental Hygienist,F,134
OH,Dental Hygienist,F,86
SC,Dental Hygienist,F,38
NM,Dental Hygienist,F,126
MONS,Dental Hygienist,F,1
ID,Dental Hygienist,F,14
OR,Dental Hygienist,F,654
VA,Dental Hygienist,F,98
PA,Dental Therapist,F,1
CA,Dental Therapist,F,2
OH,Dental Therapist,F,1
AK,Dental Therapist,F,14
GA,Dental Therapist,F,2
MN,Dental Therapist,F,43
WI,General Practice,F,29
GA,General Practice,F,50
LA,General Practice,F,23
AP,General Practice,F,9
DE,General Practice,F,25
MI,General Practice,F,86
NM,General Practice,F,30
OH,General Practice,F,52
TN,General Practice,F,14
AS,General Practice,F,2
MO,General Practice,F,55
PUERTO RICO,General Practice,F,5
RI,General Practice,F,4
OR,General Practice,F,32
ND,General Practice,F,2
IL,General Practice,F,67
AZ,General Practice,F,44
AK,General Practice,F,17
SC,General Practice,F,29
LIMA,General Practice,F,1
CO,General Practice,F,56
VT,General Practice,F,4
TX,General Practice,F,265
WY,General Practice,F,2
AL,General Practice,F,27
ON,General Practice,F,1
NV,General Practice,F,7
MN,General Practice,F,24
IA,General Practice,F,5
NY,General Practice,F,156
SD,General Practice,F,9
IN,General Practice,F,26
NH,General Practice,F,5
KY,General Practice,F,34
WV,General Practice,F,7
BADEN-WUERTTEMBERG,General Practice,F,1
UT,General Practice,F,3
AE,General Practice,F,5
NE,General Practice,F,9
PR,General Practice,F,940
MD,General Practice,F,58
FL,General Practice,F,464
CT,General Practice,F,9
HI,General Practice,F,50
MS,General Practice,F,18
AA,General Practice,F,3
ID,General Practice,F,4
MA,General Practice,F,24
NC,General Practice,F,33
NJ,General Practice,F,54
VA,General Practice,F,60
OK,General Practice,F,29
KS,General Practice,F,12
ME,General Practice,F,7
MT,General Practice,F,8
DC,General Practice,F,16
CA,General Practice,F,353
PA,General Practice,F,78
AR,General Practice,F,19
WA,General Practice,F,77
"APO, AP",General Practice,F,1
VI,General Practice,F,1
SC,Medical Genetics,F,7
NC,Medical Genetics,F,9
DE,Medical Genetics,F,4
DC,Medical Genetics,F,8
HI,Medical Genetics,F,2
OR,Medical Genetics,F,5
OK,Medical Genetics,F,4
KS,Medical Genetics,F,1
ME,Medical Genetics,F,2
KY,Medical Genetics,F,3
IN,Medical Genetics,F,5
MA,Medical Genetics,F,15
RI,Medical Genetics,F,3
MI,Medical Genetics,F,8
NV,Medical Genetics,F,1
VT,Medical Genetics,F,3
AL,Medical Genetics,F,3
VA,Medical Genetics,F,5
NJ,Medical Genetics,F,10
NY,Medical Genetics,F,19
IA,Medical Genetics,F,2
MS,Medical Genetics,F,1
FL,Medical Genetics,F,20
NE,Medical Genetics,F,2
AZ,Medical Genetics,F,4
SD,Medical Genetics,F,2
WV,Medical Genetics,F,1
AR,Medical Genetics,F,1
GA,Medical Genetics,F,6
TX,Medical Genetics,F,17
PA,Medical Genetics,F,18
MD,Medical Genetics,F,20
NH,Medical Genetics,F,1
OH,Medical Genetics,F,23
LA,Medical Genetics,F,2
ID,Medical Genetics,F,1
MN,Medical Genetics,F,9
CO,Medical Genetics,F,10
NM,Medical Genetics,F,2
MO,Medical Genetics,F,7
WA,Medical Genetics,F,16
CHIANG MAI,Medical Genetics,F,1
IL,Medical Genetics,F,7
UT,Medical Genetics,F,2
CT,Medical Genetics,F,6
TN,Medical Genetics,F,9
WI,Medical Genetics,F,5
CA,Medical Genetics,F,46
ND,Medical Genetics,F,2
TX,Nuclear Medicine,F,5
DE,Nuclear Medicine,F,1
IA,Nuclear Medicine,F,1
AR,Nuclear Medicine,F,3
PR,Nuclear Medicine,F,10
CA,Nuclear Medicine,F,23
GA,Nuclear Medicine,F,5
CO,Nuclear Medicine,F,2
TN,Nuclear Medicine,F,2
SC,Nuclear Medicine,F,1
WA,Nuclear Medicine,F,4
OH,Nuclear Medicine,F,1
VA,Nuclear Medicine,F,1
AZ,Nuclear Medicine,F,3
MI,Nuclear Medicine,F,5
CT,Nuclear Medicine,F,1
MO,Nuclear Medicine,F,5
MN,Nuclear Medicine,F,1
KS,Nuclear Medicine,F,1
NY,Nuclear Medicine,F,24
IL,Nuclear Medicine,F,5
LA,Nuclear Medicine,F,4
FL,Nuclear Medicine,F,11
NJ,Nuclear Medicine,F,4
KY,Nuclear Medicine,F,2
IN,Nuclear Medicine,F,4
MS,Nuclear Medicine,F,1
WY,Nuclear Medicine,F,1
NC,Nuclear Medicine,F,3
OK,Nuclear Medicine,F,4
MD,Nuclear Medicine,F,7
NE,Nuclear Medicine,F,2
PA,Nuclear Medicine,F,13
WI,Nuclear Medicine,F,2
AL,Nuclear Medicine,F,1
MA,Nuclear Medicine,F,10
CA,Internal Medicine,F,6758
IL,Internal Medicine,F,3445
USA,Internal Medicine,F,1
OK,Internal Medicine,F,468
IA,Internal Medicine,F,384
MAHARASHTRA,Internal Medicine,F,1
AK,Internal Medicine,F,68
GAUTENG,Internal Medicine,F,1
ONTARIO,Internal Medicine,F,4
OH,Internal Medicine,F,2450
HI,Internal Medicine,F,222
WI,Internal Medicine,F,1058
MAYNAS,Internal Medicine,F,1
NL,Internal Medicine,F,1
FL,Internal Medicine,F,3781
KS,Internal Medicine,F,445
VT,Internal Medicine,F,144
NE,Internal Medicine,F,376
WA,Internal Medicine,F,1663
AZ,Internal Medicine,F,1204
ABU DHABI,Internal Medicine,F,1
SHANGHAI,Internal Medicine,F,1
ENGLAND,Internal Medicine,F,1
SD,Internal Medicine,F,98
OR,Internal Medicine,F,901
PUERTO RICO,Internal Medicine,F,2
GA,Internal Medicine,F,1632
PA,Internal Medicine,F,3846
VA,Internal Medicine,F,1543
DEVONSHIRE,Internal Medicine,F,1
AE,Internal Medicine,F,8
ST. JAMES,Internal Medicine,F,1
WV,Internal Medicine,F,254
GU,Internal Medicine,F,16
CO,Internal Medicine,F,1223
PANAMA,Internal Medicine,F,1
BRITISH COLUMBIA,Internal Medicine,F,1
MN,Internal Medicine,F,1295
VI,Internal Medicine,F,14
DC,Internal Medicine,F,533
GUAM,Internal Medicine,F,1
MS,Internal Medicine,F,324
IN,Internal Medicine,F,959
CAMBRIDGESHIRE,Internal Medicine,F,1
NEW PROVIDENCE,Internal Medicine,F,1
LA,Internal Medicine,F,683
TX,Internal Medicine,F,4494
DELHI,Internal Medicine,F,1
AR,Internal Medicine,F,287
WY,Internal Medicine,F,41
NY,Internal Medicine,F,5695
MD,Internal Medicine,F,1928
MO,Internal Medicine,F,1234
NH,Internal Medicine,F,362
RM,Internal Medicine,F,1
FLORIDA,Internal Medicine,F,1
SC,Internal Medicine,F,822
SHANDONG,Internal Medicine,F,1
DUBAI,Internal Medicine,F,1
CONNAUGHT,Internal Medicine,F,1
ME,Internal Medicine,F,277
ISRAEL,Internal Medicine,F,1
TN,Internal Medicine,F,1085
CUNDINAMARCA,Internal Medicine,F,1
BERMUDA,Internal Medicine,F,1
MI,Internal Medicine,F,2511
MUSANZE,Internal Medicine,F,1
ND,Internal Medicine,F,118
AL,Internal Medicine,F,617
NC,Internal Medicine,F,1918
ID,Internal Medicine,F,161
KARNATAKA,Internal Medicine,F,2
NGOUNIE,Internal Medicine,F,1
NJ,Internal Medicine,F,2115
NM,Internal Medicine,F,388
AP,Internal Medicine,F,4
DE,Internal Medicine,F,218
PR,Internal Medicine,F,466
CT,Internal Medicine,F,1229
AS,Internal Medicine,F,7
RI,Internal Medicine,F,523
MT,Internal Medicine,F,148
MP,Internal Medicine,F,1
US VIRGIN ISLANDS,Internal Medicine,F,1
UT,Internal Medicine,F,247
KY,Internal Medicine,F,714
WEST INDIES,Internal Medicine,F,1
MA,Internal Medicine,F,4065
TRINIDAD,Internal Medicine,F,1
SAN JOSE,Internal Medicine,F,1
NV,Internal Medicine,F,425
DC,Emergency Medicine,F,102
MI,Emergency Medicine,F,693
PR,Emergency Medicine,F,62
NH,Emergency Medicine,F,54
VT,Emergency Medicine,F,21
KY,Emergency Medicine,F,114
IL,Emergency Medicine,F,660
WY,Emergency Medicine,F,7
NC,Emergency Medicine,F,381
NV,Emergency Medicine,F,63
HI,Emergency Medicine,F,51
UT,Emergency Medicine,F,83
MT,Emergency Medicine,F,31
NY,Emergency Medicine,F,934
DE,Emergency Medicine,F,53
WI,Emergency Medicine,F,215
WA,Emergency Medicine,F,251
AP,Emergency Medicine,F,4
ID,Emergency Medicine,F,22
VA,Emergency Medicine,F,324
GU,Emergency Medicine,F,4
MO,Emergency Medicine,F,239
CO,Emergency Medicine,F,342
BC,Emergency Medicine,F,1
VI,Emergency Medicine,F,3
OR,Emergency Medicine,F,137
GA,Emergency Medicine,F,314
AZ,Emergency Medicine,F,220
TN,Emergency Medicine,F,160
SD,Emergency Medicine,F,13
OH,Emergency Medicine,F,545
AE,Emergency Medicine,F,5
LA,Emergency Medicine,F,166
ILE DE FRANCE,Emergency Medicine,F,1
CT,Emergency Medicine,F,162
MA,Emergency Medicine,F,373
WV,Emergency Medicine,F,60
IN,Emergency Medicine,F,212
OK,Emergency Medicine,F,110
KS,Emergency Medicine,F,59
NE,Emergency Medicine,F,40
IA,Emergency Medicine,F,76
NM,Emergency Medicine,F,96
MD,Emergency Medicine,F,300
TX,Emergency Medicine,F,720
CA,Emergency Medicine,F,1261
AR,Emergency Medicine,F,52
RI,Emergency Medicine,F,109
AL,Emergency Medicine,F,103
MN,Emergency Medicine,F,230
NJ,Emergency Medicine,F,342
AK,Emergency Medicine,F,26
ND,Emergency Medicine,F,14
ME,Emergency Medicine,F,75
MS,Emergency Medicine,F,45
PA,Emergency Medicine,F,806
FL,Emergency Medicine,F,607
AS,Emergency Medicine,F,3
SC,Emergency Medicine,F,166
NE,Transplant Surgery,F,2
PR,Transplant Surgery,F,1
WA,Transplant Surgery,F,2
IL,Transplant Surgery,F,7
LA,Transplant Surgery,F,2
DE,Transplant Surgery,F,2
MA,Transplant Surgery,F,3
OH,Transplant Surgery,F,3
DC,Transplant Surgery,F,3
UT,Transplant Surgery,F,2
FL,Transplant Surgery,F,7
GA,Transplant Surgery,F,2
MO,Transplant Surgery,F,2
MD,Transplant Surgery,F,2
KY,Transplant Surgery,F,3
CT,Transplant Surgery,F,3
NC,Transplant Surgery,F,2
NJ,Transplant Surgery,F,1
WI,Transplant Surgery,F,3
TN,Transplant Surgery,F,2
MI,Transplant Surgery,F,2
TX,Transplant Surgery,F,9
NY,Transplant Surgery,F,8
PA,Transplant Surgery,F,6
SD,Transplant Surgery,F,1
AL,Transplant Surgery,F,2
MN,Transplant Surgery,F,5
CA,Transplant Surgery,F,12
RI,Transplant Surgery,F,1
CO,Transplant Surgery,F,2
VT,Orthopaedic Surgery,F,7
KS,Orthopaedic Surgery,F,13
NM,Orthopaedic Surgery,F,14
NY,Orthopaedic Surgery,F,123
SC,Orthopaedic Surgery,F,22
BRITISH COLUMBIA,Orthopaedic Surgery,F,1
PR,Orthopaedic Surgery,F,3
CO,Orthopaedic Surgery,F,49
OH,Orthopaedic Surgery,F,57
